36# Number of electrodes
# x	z
0	0.0
5	0.0
10	0.0
15	0.0
20	0.0
25	0.0
30	0.0
35	0.0
40	0.0
45	0.0
50	0.0
55	0.0
60	0.0
65	0.0
70	0.0
75	0.0
80	0.0
85	0.0
90	0.0
95	0.0
100	0.0
105	0.0
110	0.0
115	0.0
120	0.0
125	0.0
130	0.0
135	0.0
140	0.0
145	0.0
150	0.0
155	0.0
160	0.0
165	0.0
170	0.0
175	0.0
288# Number of data
#a	b	m	n	rhoa	err
4	1	3	2	502827.62	0.0000
5	2	4	3	1465552.75	0.0000
6	3	5	4	350222.53	0.0000
7	4	6	5	1267673.88	0.0000
8	5	7	6	750341.81	0.0000
9	6	8	7	277309.53	0.0000
10	7	9	8	518362.75	0.0000
11	8	10	9	826585.19	0.0000
12	9	11	10	656176.62	0.0000
13	10	12	11	991910.88	0.0000
14	11	13	12	687493.88	0.0000
15	12	14	13	640835.56	0.0000
16	13	15	14	1361515.75	0.0000
17	14	16	15	538523.56	0.0000
18	15	17	16	351399.28	0.0000
19	16	18	17	355002.62	0.0000
20	17	19	18	266595.56	0.0000
21	18	20	19	431902.31	0.0000
22	19	21	20	1249193.25	0.0000
23	20	22	21	333831.94	0.0000
24	21	23	22	934434.75	0.0000
25	22	24	23	693171.31	0.0000
26	23	25	24	268433.88	0.0000
27	24	26	25	464910.62	0.0000
28	25	27	26	784168.50	0.0000
29	26	28	27	596211.50	0.0000
30	27	29	28	971568.62	0.0000
31	28	30	29	605636.44	0.0000
32	29	31	30	506969.16	0.0000
33	30	32	31	1083401.62	0.0000
34	31	33	32	349258.75	0.0000
35	32	34	33	263340.84	0.0000
36	33	35	34	95099.05	0.0000
6	1	4	3	264988.25	0.0000
7	2	5	4	395746.53	0.0000
8	3	6	5	1345129.50	0.0000
9	4	7	6	302859.16	0.0000
10	5	8	7	938718.00	0.0000
11	6	9	8	680063.19	0.0000
12	7	10	9	271094.19	0.0000
13	8	11	10	420983.09	0.0000
14	9	12	11	643900.88	0.0000
15	10	13	12	716883.69	0.0000
16	11	14	13	830996.50	0.0000
17	12	15	14	510677.94	0.0000
18	13	16	15	344444.12	0.0000
19	14	17	16	954855.75	0.0000
20	15	18	17	196491.95	0.0000
21	16	19	18	95883.39	0.0000
22	17	20	19	209489.64	0.0000
23	18	21	20	485318.25	0.0000
24	19	22	21	1208758.25	0.0000
25	20	23	22	417138.41	0.0000
26	21	24	23	981314.31	0.0000
27	22	25	24	632873.56	0.0000
28	23	26	25	252530.19	0.0000
29	24	27	26	358151.25	0.0000
30	25	28	27	595943.06	0.0000
31	26	29	28	536521.31	0.0000
32	27	30	29	648005.75	0.0000
33	28	31	30	345435.50	0.0000
34	29	32	31	272564.59	0.0000
35	30	33	32	463093.75	0.0000
36	31	34	33	259898.75	0.0000
8	1	5	4	89765.02	0.0000
9	2	6	5	177996.06	0.0000
10	3	7	6	366818.53	0.0000
11	4	8	7	1149798.75	0.0000
12	5	9	8	371925.28	0.0000
13	6	10	9	904778.38	0.0000
14	7	11	10	628519.56	0.0000
15	8	12	11	219911.48	0.0000
16	9	13	12	326091.94	0.0000
17	10	14	13	545753.75	0.0000
18	11	15	14	469261.41	0.0000
19	12	16	15	499117.31	0.0000
20	13	17	16	236342.02	0.0000
21	14	18	17	159886.11	0.0000
22	15	19	18	274364.88	0.0000
23	16	20	19	90596.27	0.0000
24	17	21	20	149749.16	0.0000
25	18	22	21	381176.88	0.0000
26	19	23	22	1178822.88	0.0000
27	20	24	23	250757.91	0.0000
28	21	25	24	919600.44	0.0000
29	22	26	25	626732.62	0.0000
30	23	27	26	226464.80	0.0000
31	24	28	27	319971.31	0.0000
32	25	29	28	597949.69	0.0000
33	26	30	29	442952.34	0.0000
34	27	31	30	391499.25	0.0000
35	28	32	31	185005.08	0.0000
36	29	33	32	402266.75	0.0000
10	1	6	5	246549.27	0.0000
11	2	7	6	120001.59	0.0000
12	3	8	7	182608.52	0.0000
13	4	9	8	345650.31	0.0000
14	5	10	9	947684.56	0.0000
15	6	11	10	220162.81	0.0000
16	7	12	11	805554.62	0.0000
17	8	13	12	511451.16	0.0000
18	9	14	13	187003.38	0.0000
19	10	15	14	300587.53	0.0000
20	11	16	15	359421.28	0.0000
21	12	17	16	296871.56	0.0000
22	13	18	17	195438.45	0.0000
23	14	19	18	375127.38	0.0000
24	15	20	19	225392.52	0.0000
25	16	21	20	176301.11	0.0000
26	17	22	21	162809.09	0.0000
27	18	23	22	319287.78	0.0000
28	19	24	23	969842.88	0.0000
29	20	25	24	194294.50	0.0000
30	21	26	25	606829.81	0.0000
